ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
배터리 소재,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
엄청난 호재입니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
협력 논의,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
단독 돈에,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
돈에 손대면,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
손대면 죽어,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
죽어 원영식,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
원영식 녹취,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
녹취 경영,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
경영 개입,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
개입 정황,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
개인 공매도,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
하는거 보니,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
국내 증시,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
절대 속지마세요,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
14년 기다린,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
기다린 베트남,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
숙원 94조,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
94조 투자,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
투자 승인,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
보는 이유,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내일 신용,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
목요일 하한가,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
미국 임상,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
무슨 상관이,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
안티도 찬티도,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주말 호재,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
한화오션의 장점,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
신약 허가,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
추가 매수,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
자사주 매입후,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
