candidate,published_at,company_code,views,comment,title
질본,2021-07-31 22:38:00,019170,571,2,■■ 질본청
질본,2020-07-31 23:34:00,019170,230,1,질본 믿어라
문대통령은,2021-05-31 23:23:00,001440,637,9,문대통령은 연임되어야한다
문대통령은,2021-05-31 23:18:00,034020,463,9,문대통령은 연임되어야한다
문대통령은,2021-05-31 23:27:00,003920,371,9,문대통령은 연임되어야한다
문대통령은,2021-05-31 23:34:00,079160,510,4,문대통령은 연임되어야한다
문대통령은,2021-05-31 23:15:00,248070,370,4,문대통령은 연임되어야한다
연임되어야한다,2021-05-31 23:23:00,001440,637,9,문대통령은 연임되어야한다
연임되어야한다,2021-05-31 23:18:00,034020,463,9,문대통령은 연임되어야한다
연임되어야한다,2021-05-31 23:27:00,003920,371,9,문대통령은 연임되어야한다
연임되어야한다,2021-05-31 23:34:00,079160,510,4,문대통령은 연임되어야한다
연임되어야한다,2021-05-31 23:15:00,248070,370,4,문대통령은 연임되어야한다
질문드립니다,2021-09-30 23:37:00,067630,1108,5,공매관련질문드립니다.
질문드립니다,2021-06-30 23:29:00,005290,1270,4,입문하려 자료 조사 중 찜찜한 부분이 있어 질문드립니다.
질문드립니다,2020-07-31 23:00:00,084650,1048,5,질문드립니다
질문드립니다,2020-07-31 23:34:00,005390,707,4,질문드립니다
질문드립니다,2021-12-31 20:11:00,039840,874,3,장기보유하신분들 질문드립니다
질문드립니다,2022-07-31 23:14:00,388050,783,2,주린이 질문드립니다 무증
원재료,2020-02-29 23:53:00,096530,681,8,원재료 50% 수입. 국내꺼를 늘린다?
원재료,2020-05-31 23:46:00,237690,1249,3,올리고핵산 원재료 아이오니스 GSK 6월납기 735만불
원재료,2020-02-29 23:45:00,096530,511,7,원재료 50% 수입이라는데도 ㄱ ㅐ 소리들만 하네.
원재료,2020-02-29 23:33:00,096530,484,7,원재료가 수입이라잖아. 이 닥 ㄷ ㅐ 가리들아.
원재료,2020-02-29 23:19:00,096530,651,4,원재료 50% 수입 전자공시보고
원재료,2020-02-29 23:25:00,096530,530,5,원재료 50%수입 어디냐? 로슈면 그야말로 악재.
원재료,2023-03-31 23:39:00,095500,1027,2,미나 바이셀을 위한 수산화리튬 원재료 구입처는? 
원재료,2021-08-31 23:47:00,018470,662,2,"[속보] 조일알미늄 주가 +8.06%↑…""롯데알미늄과 2차전지 양극박 원재료 공급 MOU 체결"""
원재료,2020-02-29 23:31:00,084650,780,0,원재료가 국산이라 승인 늦은 건가 ? 추측임
원재료,2023-04-30 23:13:00,005950,609,0,관건은 원재료가 비싼데
설명해줄께,2026-01-31 23:13:00,017670,5669,11,바보들아 sk텔레콤이 왜 텐버거 예약인지 자세히 설명해줄께. 잘보고 장투해라.
설명해줄께,2025-01-31 21:42:00,108490,1021,3,공시 두개 내용 설명해줄께
설명해줄께,2021-08-31 23:43:00,095700,725,3,자 ~  쉽게 설명해줄께 봐봐
설명해줄께,2022-02-28 22:49:00,117580,425,2,협상진행사항  설명해줄께~
몇프로,2021-04-30 22:57:00,112610,3522,5,어닝써프라이즈시 몇프로 상승 예상하시나요??
몇프로,2022-06-30 23:31:00,360750,1794,1,배당은 일년에 몇프로 주나요  몇번에 걸쳐서 대략
몇프로,2025-10-31 22:36:00,347850,711,4,에코프로 투경 맞고 고점대비 몇프로 떨어짐?
몇프로,2021-03-31 22:55:00,138040,583,3,지금 자사주 몇프로 매입 진행되었나요~?
몇프로,2025-07-31 21:52:00,051900,191,3,다들 -몇프로이신지
몇프로,2020-07-31 22:44:00,019170,225,1,이번에는 몇프로까짖올랐다가
몇프로,2024-04-30 22:45:00,406820,329,0,몇프로출발할까?
몇프로,2024-09-30 22:34:00,010130,225,0,수요일 갭몇프로?
의사파업,2020-08-31 23:51:00,035720,664,20,의사파업 지지 청원
